Timestamp,Variable,Raw_Value,Norm_Value_z-score
2023-06-30,emp_difficulty_就业难,2470,0.938647990019185
2023-07-31,emp_difficulty_就业难,2504,1.030475919506735
2023-08-31,emp_difficulty_就业难,1900,-0.6008202396250371
2023-09-30,emp_difficulty_就业难,1584,-1.4542798195681497
2023-10-31,emp_difficulty_就业难,1981,-0.38205370172822656
2023-11-30,emp_difficulty_就业难,2013,-0.29562741515170887
2023-12-31,emp_difficulty_就业难,1897,-0.6089227039915857
2024-01-31,emp_difficulty_就业难,2043,-0.21460277148622348
2024-02-29,emp_difficulty_就业难,1944,-0.4819840955823252
2024-03-31,emp_difficulty_就业难,3000,2.37008336144276
2024-04-30,emp_difficulty_就业难,2178,0.1500081250084607
2024-05-31,emp_difficulty_就业难,2148,0.06898348134297533
2024-06-30,emp_difficulty_就业难,2487,0.98456195476296
2024-07-31,emp_difficulty_就业难,2745,1.6813738902861342
2024-08-31,emp_difficulty_就业难,2176,0.14460648209742835
2024-09-30,emp_difficulty_就业难,2236,0.3066557694283991
2024-10-31,emp_difficulty_就业难,2074,-0.13087730636522193
2024-11-30,emp_difficulty_就业难,2455,0.8981356681864423
2024-12-31,emp_difficulty_就业难,2198,0.20402455411878428
2023-01-31,emp_difficulty_找工作难,1933,-0.8164846126552439
2023-02-28,emp_difficulty_找工作难,1755,-1.2352147765523867
2023-03-31,emp_difficulty_找工作难,2731,1.0607438749285765
2023-04-30,emp_difficulty_找工作难,1963,-0.7459121131220176
2023-05-31,emp_difficulty_找工作难,1651,-1.4798661082675713
2023-06-30,emp_difficulty_找工作难,2896,1.4488926223613212
2023-07-31,emp_difficulty_找工作难,2621,0.8019780433067466
2023-08-31,emp_difficulty_找工作难,2021,-0.60947194735778
2023-09-30,emp_difficulty_找工作难,2176,-0.2448473664361106
2023-10-31,emp_difficulty_找工作难,1692,-1.383417025572162
2023-11-30,emp_difficulty_找工作难,2073,-0.4871462815001877
2023-12-31,emp_difficulty_找工作难,2150,-0.30601019936490675
2024-01-31,emp_difficulty_找工作难,2064,-0.5083180313601555
2024-02-29,emp_difficulty_找工作难,2215,-0.15310311704291638
2024-03-31,emp_difficulty_找工作难,3113,1.9593670356516584
2024-04-30,emp_difficulty_找工作难,2247,-0.07782578420747495
2024-05-31,emp_difficulty_找工作难,2413,0.3126753798763774
2024-06-30,emp_difficulty_找工作难,2865,1.3759677061769875
2024-07-31,emp_difficulty_找工作难,3231,2.2369522004823486
2024-08-31,emp_difficulty_找工作难,2265,-0.03548228448753915
2024-09-30,emp_difficulty_找工作难,2150,-0.30601019936490675
2024-10-31,emp_difficulty_找工作难,2072,-0.4894986981512952
2024-11-30,emp_difficulty_找工作难,2182,-0.23073286652946534
2024-12-31,emp_difficulty_找工作难,2243,-0.08723545081190512
2023-01-31,emp_difficulty_应届生就业,2132,-1.7834393438044573
2023-02-28,emp_difficulty_应届生就业,2647,-0.7938406776126238
2023-03-31,emp_difficulty_应届生就业,3680,1.1911213071954618
2023-04-30,emp_difficulty_应届生就业,2614,-0.8572518542812266
2023-05-31,emp_difficulty_应届生就业,2506,-1.0647793415602909
2023-06-30,emp_difficulty_应届生就业,3938,1.6868814156954484
2023-07-31,emp_difficulty_应届生就业,3883,1.5811961212477768
2023-08-31,emp_difficulty_应届生就业,2935,-0.24043404486845277
2023-09-30,emp_difficulty_应届生就业,2583,-0.9168199293335506
2023-10-31,emp_difficulty_应届生就业,3053,-0.013691049507993814
2023-11-30,emp_difficulty_应届生就业,2528,-1.0225052237812222
2023-12-31,emp_difficulty_应届生就业,2890,-0.3269038312347295
2024-01-31,emp_difficulty_应届生就业,2547,-0.985995758426572
2024-02-29,emp_difficulty_应届生就业,3056,-0.007926397083575365
2024-03-31,emp_difficulty_应届生就业,3674,1.1795920023466249
2024-04-30,emp_difficulty_应届生就业,3186,0.2418752079745574
2024-05-31,emp_difficulty_应届生就业,2480,-1.1147396625719173
2024-06-30,emp_difficulty_应届生就业,3647,1.1277101305268589
2024-07-31,emp_difficulty_应届生就业,3945,1.7003322713524247
2024-08-31,emp_difficulty_应届生就业,3026,-0.06557292132775984
2024-09-30,emp_difficulty_应届生就业,3371,0.5973621074803617
2024-10-31,emp_difficulty_应届生就业,3078,0.03434772069549325
2024-11-30,emp_difficulty_应届生就业,3225,0.3168156894919972
